"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","17537","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Corrente_FV_Avg","FP_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","A","adm","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-02-09 00:00:00",0,25.79,3.302,0,0,0,0,0,0,0,0,1.705,245.2,0,245.2,218.2
"2022-02-09 00:01:00",0,25.78,3.288,0,0,0,0,0,0,0,0,1.796,245.1,0,245.1,218.5
"2022-02-09 00:02:00",0,25.83,3.39,0,0,0,0,0,0,0,0,1.727,275,0,275,218.9
"2022-02-09 00:03:00",0,25.82,3.348,0,0,0,0,0,0,0,0,1.83,300,0,300,218.6
"2022-02-09 00:04:00",0,25.76,3.224,0,0,0,0,0,0,0,0,1.705,299.9,0,299.9,219.3
"2022-02-09 00:05:00",0,25.76,3.274,0,0,0,0,0,0,0,0,1.762,295.5,0,295.5,219.7
"2022-02-09 00:06:00",0,25.73,3.192,0,0,0,0,0,0,0,0,1.693,294.3,0,294.3,219.6
"2022-02-09 00:07:00",0,25.76,3.334,0,0,0,0,0,0,0,0,1.796,293,0,293,219
"2022-02-09 00:08:00",0,25.77,3.455,0,0,0,0,0,0,0,0,1.75,293.1,0,293.1,219
"2022-02-09 00:09:00",0,25.79,3.403,0,0,0,0,0,0,0,0,1.773,292.8,0,292.8,219
"2022-02-09 00:10:00",0,25.77,3.537,0,0,0,0,0,0,0,0,1.807,293.3,0,293.3,219
"2022-02-09 00:11:00",0,25.79,3.527,0,0,0,0,0,0,0,0,1.784,292.7,0,292.7,218.9
"2022-02-09 00:12:00",0,25.81,3.558,0,0,0,0,0,0,0,0,1.796,292.5,0,292.5,218.9
"2022-02-09 00:13:00",0,25.83,3.601,0,0,0,0,0,0,0,0,1.784,292.3,0,292.3,219.1
"2022-02-09 00:14:00",0,25.83,3.543,0,0,0,0,0,0,0,0,1.739,293.2,0,293.2,219.4
"2022-02-09 00:15:00",0,25.81,3.572,0,0,0,0,0,0,0,0,1.773,293.1,0,293.1,219.5
"2022-02-09 00:16:00",0,25.77,3.511,0,0,0,0,0,0,0,0,1.75,294.3,0,294.3,220.1
"2022-02-09 00:17:00",0,25.73,3.525,0,0,0,0,0,0,0,0,1.773,293.3,0,293.3,219.8
"2022-02-09 00:18:00",0,25.79,3.58,0,0,0,0,0,0,0,0,1.75,292,0,292,219.1
"2022-02-09 00:19:00",0,25.8,3.666,0,0,0,0,0,0,0,0,1.773,290.8,0,290.8,218.6
"2022-02-09 00:20:00",0,25.77,3.686,0,0,0,0,0,0,0,0,1.796,291.1,0,291.1,218.7
"2022-02-09 00:21:00",0,25.75,3.646,0,0,0,0,0,0,0,0,1.716,290.6,0,290.6,218.6
"2022-02-09 00:22:00",0,25.66,3.618,0,0,0,0,0,0,0,0,1.727,289.8,0,289.8,218.3
"2022-02-09 00:23:00",0,25.62,3.738,0,0,0,0,0,0,0,0,1.762,288.7,0,288.7,218.1
"2022-02-09 00:24:00",0,25.71,3.585,0,0,0,0,0,0,0,0,1.727,289.8,0,289.8,218.1
"2022-02-09 00:25:00",0,25.72,3.507,0,0,0,0,0,0,0,0,1.875,289.3,0,289.3,218.4
"2022-02-09 00:26:00",0,25.72,3.781,0,0,0,0,0,0,0,0,1.739,173.8,0,173.8,218.2
"2022-02-09 00:27:00",0,25.66,3.929,0,0,0,0,0,0,0,0,1.671,135.8,0,135.8,218.3
"2022-02-09 00:28:00",0,25.68,3.896,0,0,0,0,0,0,0,0,1.75,135.3,0,135.3,218.2
"2022-02-09 00:29:00",0,25.68,3.957,0,0,0,0,0,0,0,0,1.682,135.2,0,135.2,218.3
"2022-02-09 00:30:00",0,25.69,3.952,0,0,0,0,0,0,0,0,1.659,135.4,0,135.4,218.7
"2022-02-09 00:31:00",0,25.66,3.761,0,0,0,0,0,0,0,0,1.739,281.6,0,281.6,218.4
"2022-02-09 00:32:00",0,25.67,3.66,0,0,0,0,0,0,0,0,1.762,272.2,0,272.2,218.8
"2022-02-09 00:33:00",0,25.64,3.683,0,0,0,0,0,0,0,0,1.773,273.2,0,273.2,218.7
"2022-02-09 00:34:00",0,25.61,3.62,0,0,0,0,0,0,0,0,1.739,269.2,0,269.2,219.4
"2022-02-09 00:35:00",0,25.69,3.583,0,0,0,0,0,0,0,0,1.75,266.8,0,266.8,219.4
"2022-02-09 00:36:00",0,25.72,3.622,0,0,0,0,0,0,0,0,1.659,264.5,0,264.5,219.2
