"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","17537","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Corrente_FV_Avg","FP_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","A","adm","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-02-14 00:00:00",0,26.74,2.374,0,0,0,0,0,0,0,0,1.887,1379,0,1379,216
"2022-02-14 00:01:00",0,26.72,2.368,0,0,0,0,0,0,0,0,1.807,1372,0,1372,215.8
"2022-02-14 00:02:00",0,26.76,2.353,0,0,0,0,0,0,0,0,1.705,1365,0,1365,216.1
"2022-02-14 00:03:00",0,26.72,2.341,0,0,0,0,0,0,0,0,1.83,1365,0,1365,215.7
"2022-02-14 00:04:00",0,26.65,2.297,0,0,0,0,0,0,0,0,1.716,1369,0,1369,216.2
"2022-02-14 00:05:00",0,26.74,2.307,0,0,0,0,0,0,0,0,1.887,1356,0,1356,216.3
"2022-02-14 00:06:00",0,26.73,2.364,0,0,0,0,0,0,0,0,1.762,1349,0,1349,216.4
"2022-02-14 00:07:00",0,26.68,2.35,0,0,0,0,0,0,0,0,1.875,1316,0,1316,216.3
"2022-02-14 00:08:00",0,26.68,3.831,0,0,0,0,0,0,0,0,2.012,166.4,0,166.4,220
"2022-02-14 00:09:00",0,26.72,4.194,0,0,0,0,0,0,0,0,1.841,163,0,163,219.2
"2022-02-14 00:10:00",0,26.72,4.174,0,0,0,0,0,0,0,0,1.966,162.5,0,162.5,219.1
"2022-02-14 00:11:00",0,26.79,3.777,0,0,0,0,0,0,0,0,1.864,647.2,0,647.2,217.8
"2022-02-14 00:12:00",0,26.73,2.477,0,0,0,0,0,0,0,0,1.841,1378,0,1378,215.9
"2022-02-14 00:13:00",0,26.75,2.41,0,0,0,0,0,0,0,0,1.841,1356,0,1356,215.3
"2022-02-14 00:14:00",0,26.63,2.498,0,0,0,0,0,0,0,0,1.841,1354,0,1354,215.1
"2022-02-14 00:15:00",0,26.71,2.558,0,0,0,0,0,0,0,0,1.943,1349,0,1349,215.4
"2022-02-14 00:16:00",0,26.66,2.567,0,0,0,0,0,0,0,0,1.58,1350,0,1350,215.1
"2022-02-14 00:17:00",0,26.59,2.479,0,0,0,0,0,0,0,0,2.012,1350,0,1350,216
"2022-02-14 00:18:00",0,26.75,2.543,0,0,0,0,0,0,0,0,1.637,1337,0,1337,215.8
"2022-02-14 00:19:00",0,26.78,2.465,0,0,0,0,0,0,0,0,1.705,1418,0,1418,215.3
"2022-02-14 00:20:00",0,26.71,2.876,0,0,0,0,0,0,0,0,1.421,941,0,941,216
"2022-02-14 00:21:00",0,26.73,4.145,0,0,0,0,0,0,0,0,1.773,254.4,0,254.4,218.3
"2022-02-14 00:22:00",0,26.65,4.161,0,0,0,0,0,0,0,0,1.659,256.2,0,256.2,218.6
"2022-02-14 00:23:00",0,26.75,4.02,0,0,0,0,0,0,0,0,1.807,258.1,0,258.1,219.3
"2022-02-14 00:24:00",0,26.73,3.237,0,0,0,0,0,0,0,0,1.784,1078,0,1078,216.9
"2022-02-14 00:25:00",0,26.73,2.354,0,0,0,0,0,0,0,0,1.489,1482,0,1482,215.7
"2022-02-14 00:26:00",0,26.67,2.304,0,0,0,0,0,0,0,0,1.852,1458,0,1458,215.7
"2022-02-14 00:27:00",0,26.62,2.339,0,0,0,0,0,0,0,0,1.671,1459,0,1459,215
"2022-02-14 00:28:00",0,26.59,2.332,0,0,0,0,0,0,0,0,1.943,1461,0,1461,215.5
"2022-02-14 00:29:00",0,26.61,2.29,0,0,0,0,0,0,0,0,1.864,1463,0,1463,216
"2022-02-14 00:30:00",0,26.68,2.22,0,0,0,0,0,0,0,0,1.705,1445,0,1445,215.6
"2022-02-14 00:31:00",0,26.69,2.29,0,0,0,0,0,0,0,0,1.682,1448,0,1448,216.7
"2022-02-14 00:32:00",0,26.67,2.325,0,0,0,0,0,0,0,0,1.637,1443,0,1443,216.3
"2022-02-14 00:33:00",0,26.59,3.678,0,0,0,0,0,0,0,0,1.659,299.9,0,299.9,219.6
"2022-02-14 00:34:00",0,26.55,3.981,0,0,0,0,0,0,0,0,1.864,261.5,0,261.5,220.6
"2022-02-14 00:35:00",0,26.57,4.044,0,0,0,0,0,0,0,0,1.637,261,0,261,220.3
"2022-02-14 00:36:00",0,26.62,3.988,0,0,0,0,0,0,0,0,1.898,260.7,0,260.7,219.9
"2022-02-14 00:37:00",0,26.67,4.023,0,0,0,0,0,0,0,0,1.523,261.7,0,261.7,219.9
