"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","17537","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Corrente_FV_Avg","FP_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","A","adm","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-02-12 00:00:00",0,27.25,-0.468,0,0,0,0,0,0,0,0,1.534,1586,0,1586,214
"2022-02-12 00:01:00",0,27.22,-0.537,0,0,0,0,0,0,0,0,1.784,1546,0,1546,214.5
"2022-02-12 00:02:00",0,27.15,-0.56,0,0,0,0,0,0,0,0,1.716,1542,0,1542,214.2
"2022-02-12 00:03:00",0,27.08,-0.598,0,0,0,0,0,0,0,0,1.739,1533,0,1533,214.6
"2022-02-12 00:04:00",0,27.08,-0.7,0,0,0,0,0,0,0,0,1.818,1513,0,1513,215
"2022-02-12 00:05:00",0,27.08,-0.685,0,0,0,0,0,0,0,0,1.637,1505,0,1505,214.8
"2022-02-12 00:06:00",0,27.02,-0.675,0,0,0,0,0,0,0,0,1.796,1507,0,1507,215
"2022-02-12 00:07:00",0,27.09,-0.676,0,0,0,0,0,0,0,0,1.784,1496,0,1496,214.5
"2022-02-12 00:08:00",0,27.1,-0.6,0,0,0,0,0,0,0,0,1.773,1497,0,1497,214.2
"2022-02-12 00:09:00",0,27.14,-0.56,0,0,0,0,0,0,0,0,1.659,1485,0,1485,213.1
"2022-02-12 00:10:00",0,27.11,-0.656,0,0,0,0,0,0,0,0,1.784,1479,0,1479,214.5
"2022-02-12 00:11:00",0,27.15,-0.595,0,0,0,0,0,0,0,0,1.762,1479,0,1479,213.5
"2022-02-12 00:12:00",0,27.14,-0.531,0,0,0,0,0,0,0,0,1.739,1479,0,1479,211.6
"2022-02-12 00:13:00",0,27.14,-0.575,0,0,0,0,0,0,0,0,1.818,1476,0,1476,212.6
"2022-02-12 00:14:00",0,27.21,0.585,0,0,0,0,0,0,0,0,1.602,516.9,0,516.9,215.3
"2022-02-12 00:15:00",0,27.22,1.536,0,0,0,0,0,0,0,0,1.807,180.9,0,180.9,216.6
"2022-02-12 00:16:00",0,27.17,1.572,0,0,0,0,0,0,0,0,1.841,177.4,0,177.4,216.8
"2022-02-12 00:17:00",0,27.12,0.444,0,0,0,0,0,0,0,0,1.966,1103,0,1103,213.4
"2022-02-12 00:18:00",0,27.13,-0.466,0,0,0,0,0,0,0,0,1.818,1433,0,1433,212.6
"2022-02-12 00:19:00",0,27.13,-0.486,0,0,0,0,0,0,0,0,1.887,1451,0,1451,213
"2022-02-12 00:20:00",0,27.13,-0.478,0,0,0,0,0,0,0,0,1.727,1447,0,1447,212.8
"2022-02-12 00:21:00",0,27.12,-0.522,0,0,0,0,0,0,0,0,2.012,1443,0,1443,213.1
"2022-02-12 00:22:00",0,27.14,-0.46,0,0,0,0,0,0,0,0,2.012,1427,0,1427,213.2
"2022-02-12 00:23:00",0,27.15,-0.247,0,0,0,0,0,0,0,0,1.966,1347,0,1347,214
"2022-02-12 00:24:00",0,27.1,-0.303,0,0,0,0,0,0,0,0,1.841,1347,0,1347,213.4
"2022-02-12 00:25:00",0,27.13,-0.335,0,0,0,0,0,0,0,0,1.705,1336,0,1336,213.4
"2022-02-12 00:26:00",0,27.15,-0.302,0,0,0,0,0,0,0,0,1.75,1338,0,1338,213.9
"2022-02-12 00:27:00",0,27.14,-0.261,0,0,0,0,0,0,0,0,1.398,1336,0,1336,212.9
"2022-02-12 00:28:00",0,27.11,-0.309,0,0,0,0,0,0,0,0,1.614,1340,0,1340,213.6
"2022-02-12 00:29:00",0,27.09,-0.214,0,0,0,0,0,0,0,0,1.818,1322,0,1322,214
"2022-02-12 00:30:00",0,27.09,-0.276,0,0,0,0,0,0,0,0,1.864,1320,0,1320,214.5
"2022-02-12 00:31:00",0,27.09,-0.24,0,0,0,0,0,0,0,0,1.716,1321,0,1321,215.2
"2022-02-12 00:32:00",0,27.11,-0.326,0,0,0,0,0,0,0,0,1.614,1328,0,1328,215.2
"2022-02-12 00:33:00",0,27.09,-0.303,0,0,0,0,0,0,0,0,1.398,1332,0,1332,215
"2022-02-12 00:34:00",0,27.07,-0.331,0,0,0,0,0,0,0,0,1.943,1366,0,1366,216.2
"2022-02-12 00:35:00",0,27.09,-0.561,0,0,0,0,0,0,0,0,1.625,1435,0,1435,215
"2022-02-12 00:36:00",0,27.09,-0.543,0,0,0,0,0,0,0,0,1.568,1420,0,1420,215.1
"2022-02-12 00:37:00",0,27.14,-0.461,0,0,0,0,0,0,0,0,1.818,1409,0,1409,215.5
