"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","17537","Dados"
"TIMESTAMP","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Corrente_FV_Avg","FP_FV_Avg","Demanda_Avg","Excedente_Avg","Compra_Avg","Tensao_Rede_Avg"
"TS","W/m^2","C","C","V","A","W","V","A","W","W","A","adm","W","W","W","V"
"","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-02-10 00:00:00",0,25.95,3.685,0,0,0,0,0,0,0,0,1.864,35.01,0,35.01,219.9
"2022-02-10 00:01:00",0,25.9,3.748,0,0,0,0,0,0,0,0,1.852,35.33,0,35.33,220
"2022-02-10 00:02:00",0,25.84,3.695,0,0,0,0,0,0,0,0,1.784,35.02,0,35.02,219.8
"2022-02-10 00:03:00",0,25.88,3.848,0,0,0,0,0,0,0,0,1.864,34.92,0,34.92,219.3
"2022-02-10 00:04:00",0,25.77,3.76,0,0,0,0,0,0,0,0,1.784,117.9,0,117.9,218.8
"2022-02-10 00:05:00",0,25.84,3.581,0,0,0,0,0,0,0,0,1.727,149.8,0,149.8,218.3
"2022-02-10 00:06:00",0,25.78,3.535,0,0,0,0,0,0,0,0,2.137,142.2,0,142.2,218.5
"2022-02-10 00:07:00",0,25.59,3.6,0,0,0,0,0,0,0,0,1.864,140.4,0,140.4,218.1
"2022-02-10 00:08:00",0,25.56,3.506,0,0,0,0,0,0,0,0,1.887,139.7,0,139.7,218.6
"2022-02-10 00:09:00",0,25.53,3.476,0,0,0,0,0,0,0,0,1.898,139.1,0,139.1,218.7
"2022-02-10 00:10:00",0,25.5,3.545,0,0,0,0,0,0,0,0,1.977,139.2,0,139.2,219.1
"2022-02-10 00:11:00",0,25.51,3.513,0,0,0,0,0,0,0,0,1.83,139.2,0,139.2,218.7
"2022-02-10 00:12:00",0,25.5,3.407,0,0,0,0,0,0,0,0,1.648,138.4,0,138.4,218.3
"2022-02-10 00:13:00",0,25.56,3.456,0,0,0,0,0,0,0,0,1.716,138.4,0,138.4,219.3
"2022-02-10 00:14:00",0,25.46,3.442,0,0,0,0,0,0,0,0,1.966,138.4,0,138.4,219.7
"2022-02-10 00:15:00",0,25.53,3.446,0,0,0,0,0,0,0,0,1.614,138.2,0,138.2,219.6
"2022-02-10 00:16:00",0,25.59,3.521,0,0,0,0,0,0,0,0,1.977,138.1,0,138.1,220.1
"2022-02-10 00:17:00",0,25.6,3.513,0,0,0,0,0,0,0,0,1.796,137.8,0,137.8,219.3
"2022-02-10 00:18:00",0,25.51,3.525,0,0,0,0,0,0,0,0,2,138.2,0,138.2,220.1
"2022-02-10 00:19:00",0,25.48,3.496,0,0,0,0,0,0,0,0,1.512,138.2,0,138.2,219.6
"2022-02-10 00:20:00",0,25.62,3.51,0,0,0,0,0,0,0,0,1.784,138,0,138,219.4
"2022-02-10 00:21:00",0,25.6,3.511,0,0,0,0,0,0,0,0,1.864,138.1,0,138.1,220.1
"2022-02-10 00:22:00",0,25.62,3.507,0,0,0,0,0,0,0,0,1.966,138.5,0,138.5,221
"2022-02-10 00:23:00",0,25.68,3.692,0,0,0,0,0,0,0,0,1.716,138.4,0,138.4,220.3
"2022-02-10 00:24:00",0,25.71,3.538,0,0,0,0,0,0,0,0,2,138.4,0,138.4,220.5
"2022-02-10 00:25:00",0,25.72,3.68,0,0,0,0,0,0,0,0,1.75,138.1,0,138.1,220.1
"2022-02-10 00:26:00",0,25.79,3.569,0,0,0,0,0,0,0,0,1.739,137.8,0,137.8,220
"2022-02-10 00:27:00",0,25.8,3.527,0,0,0,0,0,0,0,0,1.818,137.5,0,137.5,220.1
"2022-02-10 00:28:00",0,25.85,3.739,0,0,0,0,0,0,0,0,1.727,95.3,0,95.3,219.4
"2022-02-10 00:29:00",0,25.8,3.816,0,0,0,0,0,0,0,0,1.932,34.88,0,34.88,219.4
"2022-02-10 00:30:00",0,25.79,3.832,0,0,0,0,0,0,0,0,1.761,34.71,0,34.71,219
"2022-02-10 00:31:00",0,25.79,3.877,0,0,0,0,0,0,0,0,1.898,34.87,0,34.87,219.1
"2022-02-10 00:32:00",0,25.79,3.699,0,0,0,0,0,0,0,0,2.057,35.07,0,35.07,220.8
"2022-02-10 00:33:00",0,25.76,3.817,0,0,0,0,0,0,0,0,1.864,35.05,0,35.05,221.1
"2022-02-10 00:34:00",0,25.76,3.64,0,0,0,0,0,0,0,0,1.739,35.3,0,35.3,221.4
"2022-02-10 00:35:00",0,25.7,3.725,0,0,0,0,0,0,0,0,1.761,35.05,0,35.05,221.1
"2022-02-10 00:36:00",0,25.65,3.784,0,0,0,0,0,0,0,0,1.739,34.82,0,34.82,220.1
